Original,randomforest_optimized,gradientboosting_optimized,stacked_optimized
0.0,0.004840000000000001,0.02820251433072114,0.003598177459882456
0.0,0.021879999999999997,0.03210976249471565,0.009466350194258774
0.0,0.01979999999999999,0.011410211224457545,0.014832252652906703
0.0,0.015639999999999998,0.030256985235871624,0.012117778061832885
0.0,0.028239999999999932,0.014521403950596926,0.010180211920928675
0.0,0.0017800000000000001,0.04755874297850868,0.0017861117657983813
0.0,0.0055600000000000024,0.017252862840491,0.002843381994280479
0.0,0.007434000000000001,0.006936217383759052,0.0028933073254646547
0.0,0.006040000000000001,0.005428870706464617,0.002419749680296418
0.0,0.0038360000000000013,0.04942414677599222,0.0026789294195433185
0.0,0.014550000000000009,0.02359859800463134,0.015796343823820242
0.0,0.017040000000000007,0.05595564899527204,0.01628383143383539
0.0,0.01336399999999998,0.011012774717822325,0.014517195056666515
0.0,0.017040000000000007,0.031086933117900305,0.010853249660763464
0.0,0.006246000000000003,0.01163145943829859,0.0008275798337695111
0.0,0.015599999999999992,0.009785747476392194,0.01064881142049352
0.0,0.018999999999999993,0.022306491406903182,0.01375671888069599
0.0,0.007400000000000005,0.028606304508456287,0.0027679345895363595
0.0,0.004880000000000001,0.03905186474750125,0.007681300815001953
0.0,0.004840000000000001,0.044395572292364655,0.0017438213165761043
0.0,0.009560000000000003,0.009502523363713522,0.0049569564206917785
0.0,0.01995999999999997,0.009743023570493736,0.011577243776910273
0.01,0.014719999999999933,0.01474169035374551,0.013890366674519513
0.01,0.01083999999999995,0.01624903703103996,0.009716314165007706
0.01,0.011559999999999957,0.015387459043007463,0.00898858233685292
0.01,0.08155999999999991,0.061265872296177915,0.07427638420811923
0.01,0.034099999999999936,0.04376143376102432,0.029572667356603907
0.01,0.0637199999999999,0.11545952205403327,0.050592460524212166
0.01,0.02383999999999991,0.0055648819566539425,0.018321856684935682
0.02,0.018999999999999993,0.022306491406903182,0.015093091267710114
0.02,0.019719999999999946,0.02297991328415507,0.021564871236108014
0.02,0.026159999999999926,0.012824990165635538,0.02107470520484138
0.02,0.004960000000000001,0.007329185777917606,0.01192509922747489
0.03,0.03352,0.007859903366946813,0.02260285086787011
0.03,0.01336399999999998,0.011012774717822325,0.014517195056666515
0.03,0.008000000000000004,0.010401157978902311,0.01259774826002229
0.03,0.0188,0.014443070412606953,0.012471544517733735
0.04,0.015799999999999998,0.01389429974241736,0.012073073156155169
0.04,0.034139999999999955,0.05693239083593741,0.03556033711447784
0.04,0.005000000000000002,0.012197607153144241,0.008671636068631547
0.04,0.050199999999999745,0.011925820751736442,0.048384345750770816
0.04,0.030759999999999992,0.053991359306767885,0.02354397401114136
0.04,0.06799999999999973,0.0610157070250411,0.06307673678089959
0.05,0.015599999999999992,0.009785747476392194,0.013261896712958639
0.05,0.0546800000000002,0.08872730604324763,0.053150091419335396
0.05,0.01995999999999997,0.009743023570493736,0.014273852343563775
0.05,0.053440000000000196,0.08893775012328799,0.04692055517913188
0.05,0.03219999999999995,0.022602238694947208,0.024618541316295504
0.05,0.04519999999999996,0.05386265282074516,0.042113609426780614
0.05,0.04457999999999989,0.04419105137383363,0.04173028878259678
0.06,0.06660000000000016,0.11432882378484166,0.06776928613429486
0.06,0.007960000000000005,0.003591660630764095,0.01179585643574555
0.06,0.0546800000000002,0.08872730604324763,0.05609726980855406
